shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_1_1,43.308130000000006,-1.8796800000000002,0
shp_1_1,43.308110000000006,-1.8801,1
shp_1_1,43.30809000000001,-1.8803500000000002,2
shp_1_1,43.308080000000004,-1.8804900000000002,3
shp_1_1,43.308080000000004,-1.88057,4
shp_1_1,43.308080000000004,-1.8805900000000002,5
shp_1_1,43.308080000000004,-1.88064,6
shp_1_1,43.30807,-1.8806800000000001,7
shp_1_1,43.30805,-1.8807300000000002,8
shp_1_1,43.30800000000001,-1.8808000000000002,9
shp_1_1,43.30801,-1.88084,10
shp_1_1,43.308020000000006,-1.8808600000000002,11
shp_1_1,43.30805,-1.88104,12
shp_1_1,43.308060000000005,-1.8811300000000002,13
shp_1_1,43.308060000000005,-1.8811400000000003,14
shp_1_1,43.30807,-1.88115,15
shp_1_1,43.308080000000004,-1.8811600000000002,16
shp_1_1,43.30809000000001,-1.8811700000000002,17
shp_1_1,43.30809000000001,-1.88118,18
shp_1_1,43.3081,-1.8811900000000001,19
shp_1_1,43.3081,-1.8812000000000002,20
shp_1_1,43.308110000000006,-1.88121,21
shp_1_1,43.30812,-1.8812300000000002,22
shp_1_1,43.30812,-1.88125,23
shp_1_1,43.308130000000006,-1.8812700000000002,24
shp_1_1,43.308130000000006,-1.8812900000000001,25
shp_1_1,43.308130000000006,-1.8813100000000003,26
shp_1_1,43.308130000000006,-1.8813300000000002,27
shp_1_1,43.308130000000006,-1.88135,28
shp_1_1,43.308130000000006,-1.8813700000000002,29
shp_1_1,43.308130000000006,-1.8813900000000001,30
shp_1_1,43.308130000000006,-1.8814100000000002,31
shp_1_1,43.30812,-1.8814300000000002,32
shp_1_1,43.308110000000006,-1.88145,33
shp_1_1,43.308110000000006,-1.8814700000000002,34
shp_1_1,43.3081,-1.88149,35
shp_1_1,43.30809000000001,-1.8815000000000002,36
shp_1_1,43.308080000000004,-1.88152,37
shp_1_1,43.30807,-1.8815300000000001,38
shp_1_1,43.30805,-1.88155,39
shp_1_1,43.308040000000005,-1.8815600000000001,40
shp_1_1,43.30803,-1.8815700000000002,41
shp_1_1,43.30801,-1.8815800000000003,42
shp_1_1,43.30800000000001,-1.8815800000000003,43
shp_1_1,43.30798,-1.88159,44
shp_1_1,43.307970000000005,-1.88159,45
shp_1_1,43.307950000000005,-1.88159,46
shp_1_1,43.30794,-1.88159,47
shp_1_1,43.30791000000001,-1.88159,48
shp_1_1,43.307900000000004,-1.8815800000000003,49
shp_1_1,43.30789,-1.8815700000000002,50
shp_1_1,43.307880000000004,-1.8815700000000002,51
shp_1_1,43.307860000000005,-1.8815600000000001,52
shp_1_1,43.307860000000005,-1.88155,53
shp_1_1,43.30785,-1.88155,54
shp_1_1,43.307840000000006,-1.8815400000000002,55
shp_1_1,43.30783,-1.8815300000000001,56
shp_1_1,43.307610000000004,-1.88159,57
shp_1_1,43.30751,-1.8816300000000001,58
shp_1_1,43.30744000000001,-1.8816400000000002,59
shp_1_1,43.30742,-1.88165,60
shp_1_1,43.30722,-1.8817700000000002,61
shp_1_1,43.307210000000005,-1.88179,62
shp_1_1,43.3072,-1.88179,63
shp_1_1,43.30713,-1.8818500000000002,64
shp_1_1,43.307120000000005,-1.88186,65
shp_1_1,43.30689,-1.88203,66
shp_1_1,43.30631,-1.8824200000000002,67
shp_1_1,43.30628,-1.88247,68
shp_1_1,43.30628,-1.8824800000000002,69
shp_1_1,43.306270000000005,-1.8824800000000002,70
shp_1_1,43.3061,-1.8825900000000002,71
shp_1_1,43.30595,-1.8826900000000002,72
shp_1_1,43.30584,-1.8827800000000001,73
shp_1_1,43.30577,-1.8828300000000002,74
shp_1_1,43.30566,-1.8829300000000002,75
shp_1_1,43.30566,-1.8829500000000001,76
shp_1_1,43.30566,-1.8829600000000002,77
shp_1_1,43.30565000000001,-1.88298,78
shp_1_1,43.30565000000001,-1.8830000000000002,79
shp_1_1,43.305640000000004,-1.88301,80
shp_1_1,43.305640000000004,-1.8830200000000001,81
shp_1_1,43.30563,-1.88304,82
shp_1_1,43.30563,-1.8830500000000001,83
shp_1_1,43.30561,-1.8830700000000002,84
shp_1_1,43.305600000000005,-1.88308,85
shp_1_1,43.30559,-1.8830900000000002,86
shp_1_1,43.305580000000006,-1.8831000000000002,87
shp_1_1,43.30557,-1.88311,88
shp_1_1,43.30556000000001,-1.88311,89
